*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Interface_VersionB_1.0.5_Filled
*Date=13:26:25
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;;;33.1724;-4.46588;0;Bottom;Copper Fill39
103;100k;THT;8.96874;-74.726;90;Bottom;R27
104;;;31.8008;-23.2111;0;Bottom;Copper Fill37
105;;;6.27944;-8.81296;0;Bottom;Hole44
106;;;17.8308;-58.8219;0;Bottom;Copper Fill29
107;;;25.4846;-31.7436;0;Bottom;Via2
108;;;18.0555;-54.2981;0;Bottom;IMG2
109;;;16.9164;-94.839;0;Bottom;Copper Fill61
110;;PG203J [THT];16.7271;-9.33897;180;Bottom;PJ8
111;100k;THT;22.3591;-85.8193;-90;Bottom;R40
112;;;19.7612;-95.5248;0;Bottom;Copper Fill12
113;;THT;6.91444;-52.8396;-90;Bottom;J2
114;;;30.7086;-38.9464;0;Bottom;Copper Fill43
115;;;15.4178;-36.3556;0;Bottom;Copper Fill58
116;;;16.5989;-11.0191;0;Bottom;Copper Fill97
117;;;25.273;-2.96728;0;Bottom;Copper Fill42
118;;5 mm [THT];12.3194;-61.6163;180;Bottom;LED1
119;;;15.5956;-17.3056;0;Bottom;Copper Fill101
120;;;15.5956;-17.3056;0;Bottom;Copper Fill55
121;100k;THT;32.2752;-106.634;-90;Bottom;R26
122;;;30.0567;-8.88352;0;Bottom;Hole43
123;;;12.7889;-110.689;0;Bottom;Copper Fill93
124;;;29.7745;-44.6551;0;Bottom;Hole14
125;;;17.653;-12.0732;0;Bottom;Copper Fill52
126;66k;THT;30.8091;-87.7356;-90;Bottom;R34
127;66k;THT;34.0538;-104.375;90;Bottom;R33
128;;;16.6497;-18.3851;0;Bottom;Copper Fill100
129;220;THT;21.0256;-54.1553;0;Bottom;RLED
130;;;27.7368;-96.1344;0;Bottom;Copper Fill14
131;;;7.0104;-63.0129;0;Bottom;Copper Fill72
132;;;31.75;-14.6767;0;Bottom;Copper Fill38
133;;THT;23.4244;-22.9946;180;Bottom;CV IN HEADER
134;;THT;18.8004;-73.9625;0;Bottom;R3
135;66k;THT;20.1538;-85.4267;90;Bottom;R32
136;;;34.2138;-74.6715;0;Bottom;Copper Fill23
137;;PG203J [THT];6.43561;-9.27942;180;Bottom;PJ4
138;;;6.9977;-89.8099;0;Bottom;Copper Fill76
139;;;23.0124;-68.7787;0;Bottom;Copper Fill26
140;;;6.20888;-44.6552;0;Bottom;Hole12
141;;;25.7575;-75.0035;0;Bottom;Via6
142;;;9.5562;-1.19618;0;Bottom;TXT1
143;;;28.9306;-38.794;0;Bottom;Copper Fill44
144;;;24.13;-90.5211;0;Bottom;Copper Fill17
145;;;7.0866;-14.6132;0;Bottom;Copper Fill83
146;;;16.4973;-35.3015;0;Bottom;Copper Fill105
147;;;16.4973;-42.6421;0;Bottom;Copper Fill103
148;;;16.4395;-32.7312;0;Bottom;Hole16
149;;PG203J [THT];29.9444;-19.9584;0;Bottom;PJ11
150;;;10.7696;-81.3263;0;Bottom;Copper Fill21
151;;;15.5194;-12.0732;0;Bottom;Copper Fill98
152;;;26.4922;-5.15168;0;Bottom;Copper Fill41
153;;;17.3482;-38.9464;0;Bottom;Copper Fill81
154;;;15.5194;-79.2943;0;Bottom;Copper Fill68
155;;;1.0922;-83.7012;0;Bottom;Copper Fill88
156;;;10.3886;-56.5359;0;Bottom;Copper Fill31
157;;;17.8308;-89.5051;0;Bottom;Copper Fill18
158;;;5.334;-38.794;0;Bottom;Copper Fill84
159;;;11.7593;-4.01527;0;Bottom;Via8
160;;;21.5899;-19.9137;0;Bottom;Via9
161;;;30.0095;-20.5723;0;Bottom;Hole40
162;;;15.0368;-97.2774;0;Bottom;Copper Fill13
163;;;16.5989;-11.0191;0;Bottom;Copper Fill50
164;66k;THT;19.2131;-95.4748;90;Bottom;R35
165;;;28.9814;-101.481;0;Bottom;Copper Fill86
166;;;16.6497;-18.3851;0;Bottom;Copper Fill54
167;;;20.1041;-80.7929;0;Bottom;Copper Fill90
168;;;22.2885;-82.9519;0;Bottom;Copper Fill91
169;;;31.623;-77.9227;0;Bottom;Copper Fill22
170;;;32.893;-98.9792;0;Bottom;Copper Fill64
171;;;1.8669;-84.5775;0;Bottom;Copper Fill87
