*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Interface_VersionB_1.0.4_fill
*Date=07:41:39
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
103;;;30.0095;-20.5723;0;Bottom;Hole40
104;;;22.1361;-82.9518;0;Bottom;Copper Fill84
105;;;17.5514;-109.8;0;Bottom;Copper Fill4
106;;;11.811;-109.761;0;Bottom;Copper Fill86
107;;;11.8872;-86.711;0;Bottom;Copper Fill17
108;;;1.0922;-83.7011;0;Bottom;Copper Fill82
109;;THT;23.4244;-8.38962;180;Bottom;CV OUT HEADER
110;;;16.4973;-35.2252;0;Bottom;Copper Fill94
111;;;16.4395;-32.7312;0;Bottom;Hole16
112;;;26.3144;-100.884;0;Bottom;Copper Fill52
113;;;32.9692;-94.9152;0;Bottom;Copper Fill55
114;;;33.1724;-4.3134;0;Bottom;Copper Fill36
115;;;22.1543;-32.3081;0;Bottom;Via2
116;;;25.7575;-75.0035;0;Bottom;Via6
117;;THT;29.8509;-75.228;0;Bottom;P
118;;;21.3641;-28.399;0;Bottom;Via1
119;66k;THT;34.0538;-104.375;90;Bottom;R33
120;;;17.8054;-34.9966;0;Bottom;Copper Fill32
121;;;18.0555;-54.2981;0;Bottom;IMG2
122;;PG203J [THT];6.2849;-33.6101;180;Bottom;PJ2
123;;THT;11.8767;-86.3004;0;Bottom;R2
124;;;27.3685;-84.8822;0;Bottom;Copper Fill88
125;;;33.7058;-83.0026;0;Bottom;Copper Fill59
126;;THT;9.01151;-98.7647;180;Bottom;R1
127;;THT;23.4244;-22.9946;180;Bottom;CV IN HEADER
128;;;28.7274;-62.8096;0;Bottom;Copper Fill25
129;;;16.4973;-35.2252;0;Bottom;Copper Fill49
130;;;32.2834;-93.569;0;Bottom;Copper Fill10
131;;PG203J [THT];30.109;-9.48008;180;Bottom;PJ12
132;;;17.0942;-102.51;0;Bottom;Copper Fill51
133;;;7.8232;-109.368;0;Bottom;Copper Fill1
134;;;11.7593;-4.01527;0;Bottom;Via8
135;;PG203J [THT];16.7271;-9.33897;180;Bottom;PJ8
136;;;8.6106;-81.6056;0;Bottom;Copper Fill18
137;;PG203J [THT];16.4449;-44.2168;0;Bottom;PJ5
138;;PG203J [THT];16.6329;-19.9692;0;Bottom;PJ7
139;;PG203J [THT];16.6329;-33.6101;180;Bottom;PJ6
140;;;34.3408;-110.13;0;Bottom;Copper Fill2
141;;;5.207;-14.6131;0;Bottom;Copper Fill75
142;;THT;18.8004;-73.9625;0;Bottom;R3
143;;PG203J [THT];29.7799;-44.0523;0;Bottom;PJ9
144;;;27.6606;-96.0836;0;Bottom;Copper Fill9
145;;;15.4686;-12.0731;0;Bottom;Copper Fill89
146;;;28.8798;-101.481;0;Bottom;Copper Fill80
147;;;33.9374;-30.2617;0;Bottom;Via3
148;;;29.7745;-44.6551;0;Bottom;Hole14
149;;;17.399;-38.9463;0;Bottom;Copper Fill74
150;100k;THT;33.4762;-93.5122;99.81;Bottom;R37
151;;;19.7993;-82.4438;0;Bottom;Copper Fill83
152;;;15.367;-36.3555;0;Bottom;Copper Fill95
153;;;20.3454;-66.5688;0;Bottom;Copper Fill64
154;;;22.8092;-73.6554;0;Bottom;Copper Fill62
155;;;7.493;-60.1172;0;Bottom;Copper Fill66
156;;;19.7104;-95.4994;0;Bottom;Copper Fill8
157;;;34.3408;-110.13;0;Bottom;Copper Fill53
158;;;8.001;-88.8827;0;Bottom;Copper Fill70
