*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=DAC Version B 1.0.4_Fill
*Date=07:41:00
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
104;;;25.8064;-79.8998;0;Bottom;Copper Fill32
105;;;12.5984;-67.022;0;Bottom;Copper Fill44
106;220;THT;18.4712;-48.9725;90;Bottom;R_LED
107;;;16.5767;-91.6637;-90;Bottom;Teensy 3.2
108;;;6.0706;-7.0526;0;Bottom;Copper Fill87
109;;;21.6154;-36.923;0;Bottom;Copper Fill134
110;100k;THT;29.9068;-49.879;180;Bottom;R7
111;;;16.7894;-6.1382;0;Bottom;Copper Fill140
112;;;7.3914;-33.3924;0;Bottom;Copper Fill55
113;;;16.9672;-88.8152;0;Bottom;Copper Fill25
114;;;2.413;-86.961;0;Bottom;Copper Fill113
115;;;8.7884;-74.1848;0;Bottom;Copper Fill38
116;;;26.2128;-8.5004;0;Bottom;Copper Fill82
117;;;21.7424;-86.6562;0;Bottom;Copper Fill27
118;;;26.0858;-94.8604;0;Bottom;Copper Fill16
119;;;12.7508;-109.821;0;Bottom;Copper Fill94
120;;;23.9888;-26.6313;0;Bottom;Via6
121;;;29.2608;-33.2654;0;Bottom;Copper Fill135
122;;;27.2626;-74.0777;0;Bottom;Via29
123;;;1.39628;-103.485;90;Bottom;TXT1
124;;;4.7498;-88.1802;0;Bottom;Copper Fill24
125;;;26.6446;-36.4404;0;Bottom;Copper Fill71
126;;;11.2776;-12.0056;0;Bottom;Copper Fill139
127;;;25.3238;-81.9826;0;Bottom;Copper Fill115
128;;;22.8092;-75.8866;0;Bottom;Copper Fill28
129;;;10.9982;-81.4746;0;Bottom;Copper Fill30
130;;;30.5054;-54.9062;0;Bottom;Copper Fill56
131;;;28.8798;-63.8724;0;Bottom;Copper Fill47
132;;;26.811;-9.27463;0;Bottom;Via14
133;;;22.1488;-66.3362;0;Bottom;Copper Fill42
134;;;15.3105;-88.979;0;Bottom;Via8
135;;;1.9304;-89.9074;0;Bottom;Copper Fill109
136;;DIP (Dual Inline) [THT];24.2807;-30.8493;180;Bottom;DAC2
137;;THT;8.99273;-92.1282;0;Bottom;J3
138;;;20.4142;-62.309;0;Bottom;Via9
139;;THT;11.5308;-85.8039;0;Bottom;J5
140;;DIP (Dual Inline) [THT];26.2165;-9.64763;0;Bottom;DAC1
141;;;28.6766;-27.1694;0;Bottom;Copper Fill131
142;;;30.3784;-69.9684;0;Bottom;Copper Fill39
143;;;34.036;-89.4502;0;Bottom;Copper Fill21
144;;;21.9202;-20.7686;0;Bottom;Copper Fill77
145;;;26.4414;-104.36;0;Bottom;Copper Fill4
146;;;16.256;-40.0472;0;Bottom;Copper Fill130
147;;;25.3746;-89.6026;0;Bottom;Copper Fill110
148;;THT;7.48086;-43.6565;0;Bottom;Eurorack Power Header
