*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=DAC 1.1.0
*Date=11:29:42
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
66;;;29.2862;-32.224;0;Bottom;Copper Fill132
67;;;4.7117;-40.7584;0;Bottom;Copper Fill82
68;;;12.192;-4.0046;0;Bottom;Copper Fill74
69;;;18.4245;-98.3674;0;Bottom;Via23
70;;;16.7894;-17.9873;0;Bottom;Copper Fill93
71;33k;THT;31.376;-68.7631;38.362;Bottom;R6
72;;;2.1082;-89.755;0;Bottom;Copper Fill107
73;;;5.715;-47.337;0;Bottom;Copper Fill57
74;;;10.4394;-61.18;0;Bottom;Copper Fill50
75;;;2.06408;-102.758;90;Bottom;TXT1
76;;;5.8166;-86.1482;0;Bottom;Copper Fill108
77;;;19.5438;-91.8577;0;Bottom;Via21
78;;;19.0733;-68.6903;0;Bottom;Via22
79;;;34.0106;-70.07;0;Bottom;Copper Fill40
80;;;8.382;-29.303;0;Bottom;Copper Fill139
81;;;32.4603;-35.6672;0;Bottom;Via30
82;;;35.2044;-80.4713;0;Bottom;Copper Fill172
83;100;THT;15.4955;-13.8842;-145.096;Bottom;R29
84;;;29.2862;-34.5862;0;Bottom;Copper Fill130
85;;;11.3284;-75.8612;0;Bottom;Copper Fill35
86;;;32.3342;-75.2897;0;Bottom;Copper Fill163
87;;;22.9108;-109.872;0;Bottom;Copper Fill7
88;100;THT;18.7108;-3.42181;180;Bottom;R32
89;;;21.0312;-3.4204;0;Bottom;Copper Fill76
90;;;22.6568;-12.8692;0;Bottom;Copper Fill140
91;;THT;16.6071;-98.4837;0;Bottom;J8
92;;;21.6916;-67.4538;0;Bottom;Copper Fill44
93;;THT;8.74889;-39.1243;0;Bottom;Eurorack Power Header
94;;;16.8656;-79.4426;0;Bottom;Copper Fill109
95;;THT;14.1111;-42.2006;0;Bottom;NC
96;;;12.2337;-105.999;0;Bottom;Via2
97;;;35.2044;-80.4713;0;Bottom;Copper Fill91
98;;;21.0185;-45.9908;0;Bottom;Copper Fill83
99;;;12.446;-65.4218;0;Bottom;Copper Fill43
100;;THT;6.14511;-62.956;-180;Bottom;Power and I2C Header
101;;;17.5514;-66.3616;0;Bottom;Copper Fill46
102;;;22.987;-87.088;0;Bottom;Copper Fill111
103;5V;to-92;5.47511;-51.4574;90;Bottom;78L05
104;;;20.3962;-96.613;0;Bottom;Copper Fill103
105;;;6.1214;-42.892;0;Bottom;Copper Fill58
106;;;29.591;-3.2045;0;Bottom;Copper Fill176
107;;;4.7117;-40.7584;0;Bottom;Copper Fill155
108;;;30.2919;-32.1346;0;Bottom;Via15
109;;;10.8966;-39.1709;0;Bottom;Copper Fill80
110;;;31.3309;-91.0758;0;Bottom;Copper Fill164
111;;;17.3769;-17.9149;0;Bottom;Via20
112;;;22.0218;-75.7342;0;Bottom;Copper Fill27
113;;;12.3444;-107.332;0;Bottom;Copper Fill9
114;;;19.4921;-51.4762;0;Bottom;Via36
115;;;12.1412;-80.0522;0;Bottom;Copper Fill31
116;;;5.842;-68.8;0;Bottom;Copper Fill119
117;;;27.7114;-73.2958;0;Bottom;Copper Fill36
118;;;17.3101;-17.4666;0;Bottom;Copper Fill92
119;;;22.344;-98.3278;0;Bottom;Via10
120;;;8.255;-59.1861;0;Bottom;Copper Fill162
121;;;21.8186;-28.287;0;Bottom;Copper Fill62
122;;;22.9108;-109.872;0;Bottom;Copper Fill102
123;;;10.8458;-81.5254;0;Bottom;Copper Fill29
124;100;THT;6.32573;-25.3319;180;Bottom;R27
125;;to-92;30.287;-74.7066;180;Bottom;Q3
126;;;31.2674;-3.395;0;Bottom;Copper Fill77
127;;;24.9428;-62.6278;0;Bottom;Copper Fill49
128;;;20.4142;-62.309;0;Bottom;Via9
129;;;17.9681;-39.9429;0;Bottom;Via38
130;;;11.0303;-90.3328;0;Bottom;Via3
131;;;12.0872;-97.9919;0;Bottom;Via5
132;;;15.3416;-68.2412;0;Bottom;Copper Fill45
133;;;33.8074;-79.0362;0;Bottom;Copper Fill33
134;;to-92;29.6147;-44.3502;0;Bottom;Q4
135;;;21.0537;-45.3991;0;Bottom;Via34
136;;;1.97546;-91.3073;0;Bottom;Via11
137;;;4.699;-92.5236;0;Bottom;Copper Fill23
138;;DIP (Dual Inline) [THT];6.06326;-11.1781;0;Bottom;CV Output Buffer
139;100k;THT;29.9068;-49.879;180;Bottom;R7
140;;;33.5788;-13.2629;0;Bottom;Copper Fill177
141;;;26.8675;-73.6261;0;Bottom;Via29
142;;;12.2682;-99.8896;0;Bottom;Copper Fill15
143;;;16.2052;-66.8442;0;Bottom;Copper Fill117
144;;;11.2148;-74.0314;0;Bottom;Via24
145;;;29.2608;-29.5824;0;Bottom;Copper Fill134
146;;;10.2362;-109.897;0;Bottom;Copper Fill2
147;;;20.4978;-45.4701;0;Bottom;Copper Fill158
148;;;15.0876;-52.9504;0;Bottom;Copper Fill124
149;100k;THT;30.9656;-66.4804;-142.713;Bottom;R5
150;;;32.1564;-90.2249;0;Bottom;Copper Fill165
151;;;18.0594;-24.604;0;Bottom;Copper Fill141
152;;;3.7592;-51.4518;0;Bottom;Copper Fill54
153;;;10.541;-48.2133;0;Bottom;Copper Fill153
154;;;11.3538;-80.738;0;Bottom;Copper Fill114
155;;;27.051;-9.618;0;Bottom;Copper Fill78
156;;;29.6672;-67.149;0;Bottom;Copper Fill118
157;;;9.0678;-67.0474;0;Bottom;Copper Fill122
158;;;17.3101;-17.4666;0;Bottom;Copper Fill174
159;;;27.2369;-19.8839;0;Bottom;Via16
160;;THT;24.1904;-92.1539;0;Bottom;j4
161;33k;THT;31.5855;-83.1214;45;Bottom;R2
162;;;30.4819;-17.2186;0;Bottom;Via14
163;;THT;11.5308;-85.8039;0;Bottom;J5
164;;to-92;30.1207;-89.6492;180;Bottom;Q1
165;;;30.1743;-3.1363;0;Bottom;Via18
166;;;22.9362;-84.4464;0;Bottom;Copper Fill112
167;;;35.2806;-66.4505;0;Bottom;Copper Fill171
168;;;18.796;-96.7908;0;Bottom;Copper Fill18
169;;THT;21.0411;-58.7489;-90;Bottom;Expander Header
170;;;12.7508;-91.66;0;Bottom;Copper Fill20
171;;;8.9916;-74.134;0;Bottom;Copper Fill37
172;;;22.098;-15.8156;0;Bottom;Copper Fill68
173;;;11.4784;-104.195;0;Bottom;Via4
174;;;23.3172;-30.9794;0;Bottom;Copper Fill61
175;;;8.2804;-50.0802;0;Bottom;Copper Fill56
176;;;28.7782;-10.7737;0;Bottom;Copper Fill178
177;;;30.1752;-82.8208;0;Bottom;Copper Fill30
178;;THT;14.0304;-98.5039;0;Bottom;J7
179;;;11.2522;-12.0056;0;Bottom;Copper Fill142
180;;;20.3962;-109.872;0;Bottom;Copper Fill6
181;;;20.3962;-109.872;0;Bottom;Copper Fill101
182;;;11.2522;-9.4656;0;Bottom;Copper Fill72
183;;;35.2806;-66.4505;0;Bottom;Copper Fill88
184;;;20.3962;-103.496;0;Bottom;Copper Fill10
185;;;33.7566;-95.5589;0;Bottom;Copper Fill173
186;;;15.3105;-88.979;0;Bottom;Via8
187;;;30.5816;-57.751;0;Bottom;Copper Fill51
188;;;33.5788;-3.1029;0;Bottom;Copper Fill169
189;;;26.6954;-98.8482;0;Bottom;Copper Fill16
190;;DIP (Dual Inline) [THT];28.9681;-10.6354;0;Bottom;DAC1
191;;;9.45435;-61.5797;0;Bottom;Via25
192;;THT;12.6294;-9.03944;180;Bottom;CV Out
193;;;4.7752;-97.1972;0;Bottom;Copper Fill96
