*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Interface_VersionB_1.0.5_Filled
*Date=14:42:28
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;;;22.1996;-8.37748;0;Bottom;Copper Fill39
103;;;31.75;-104.516;0;Bottom;Copper Fill7
104;;;16.4973;-35.3015;0;Bottom;Copper Fill60
105;;THT;3.38667;-65.2574;0;Bottom;USB Breakout
106;;;27.5082;-91.791;0;Bottom;Copper Fill69
107;;;6.20888;-44.6552;0;Bottom;Hole12
108;;;10.7696;-81.3263;0;Bottom;Copper Fill21
109;;PG203J [THT];16.4449;-44.2168;0;Bottom;PJ5
110;;;5.2578;-14.6132;0;Bottom;Copper Fill85
111;66k;THT;19.2131;-95.4748;90;Bottom;R35
112;;;22.2885;-81.1993;0;Bottom;Copper Fill95
113;;;27.3685;-84.7807;0;Bottom;Copper Fill99
114;;;30.0567;-8.88352;0;Bottom;Hole43
115;;THT;11.8767;-86.3004;0;Bottom;R2
116;;PG203J [THT];29.7799;-44.0523;0;Bottom;PJ9
117;;;32.893;-98.9792;0;Bottom;Copper Fill67
118;;PG203J [THT];29.9916;-33.6101;180;Bottom;PJ10
119;;;23.0124;-68.7787;0;Bottom;Copper Fill26
120;;;10.3378;-56.5613;0;Bottom;Copper Fill31
121;;;5.0038;-56.9423;0;Bottom;Copper Fill30
122;;;16.7132;-99.5126;0;Bottom;Copper Fill10
123;;;28.575;-62.8605;0;Bottom;Copper Fill28
124;100k;THT;32.2752;-106.634;-90;Bottom;R26
125;;;11.5062;-59.8252;0;Bottom;Copper Fill62
126;;PG203J [THT];16.7271;-9.33897;180;Bottom;PJ8
127;;;19.7612;-95.5248;0;Bottom;Copper Fill12
128;;;26.2636;-103.069;0;Bottom;Copper Fill3
129;;;17.0434;-86.1777;0;Bottom;Copper Fill20
130;;;31.115;-71.3441;0;Bottom;Copper Fill25
131;100k;THT;10.5726;-72.4072;90;Bottom;R25
132;;;6.9977;-89.8099;0;Bottom;Copper Fill81
133;;;23.6219;-30.2052;0;Bottom;Via1
134;;;17.526;-14.7148;0;Bottom;Copper Fill80
135;;;29.7745;-44.6551;0;Bottom;Hole14
136;;;22.1996;-5.83748;0;Bottom;Copper Fill42
137;;;6.20888;-32.8018;0;Bottom;Hole15
138;;;18.0086;-30.2723;0;Bottom;Copper Fill76
139;;;7.0866;-38.794;0;Bottom;Copper Fill88
140;;;27.0256;-41.8547;0;Bottom;Copper Fill77
141;;;16.4973;-35.3015;0;Bottom;Copper Fill108
142;;;33.1724;-98.903;0;Bottom;Copper Fill11
143;;;15.5194;-12.0732;0;Bottom;Copper Fill54
144;;;9.8044;-82.8756;0;Bottom;Copper Fill73
145;;;33.0708;-26.5893;0;Bottom;Copper Fill34
146;;;15.621;-38.9464;0;Bottom;Copper Fill83
147;;;21.1582;-91.4355;0;Bottom;Copper Fill16
148;;;13.716;-109.761;0;Bottom;Copper Fill98
149;;;20.828;-85.7713;0;Bottom;Copper Fill66
150;;;3.8354;-28.9769;0;Bottom;Copper Fill32
151;;;7.9248;-109.088;0;Bottom;Copper Fill1
152;;;11.7593;-4.01527;0;Bottom;Via8
153;;;22.2885;-81.1993;0;Bottom;Copper Fill52
154;;;16.5989;-11.0191;0;Bottom;Copper Fill53
155;;;20.0755;-64.5141;0;Bottom;Via5
156;100k;THT;8.96874;-74.726;90;Bottom;R27
157;;;16.8393;-20.5723;0;Bottom;Hole39
158;;;17.8308;-58.8219;0;Bottom;Copper Fill29
159;;;17.653;-12.0732;0;Bottom;Copper Fill102
160;100k;THT;27.4204;-87.6856;90;Bottom;R38
161;;;15.5956;-17.3056;0;Bottom;Copper Fill58
162;;;5.2578;-14.6132;0;Bottom;Copper Fill48
163;;;17.399;-109.622;0;Bottom;Copper Fill2
164;;PG203J [THT];6.43561;-9.27942;180;Bottom;PJ4
165;;THT;6.91444;-52.8396;-90;Bottom;J2
166;;;17.145;-102.256;0;Bottom;Copper Fill63
167;;;15.7668;-77.7317;0;Bottom;Via7
168;;;29.9156;-32.7312;0;Bottom;Hole17
169;;;21.5899;-19.9137;0;Bottom;Via9
170;;;16.6497;-18.3851;0;Bottom;Copper Fill57
171;;;34.0614;-110.028;0;Bottom;Copper Fill4
172;;;25.4846;-31.7436;0;Bottom;Via2
173;;;30.7086;-38.9464;0;Bottom;Copper Fill46
174;;;20.1041;-82.5455;0;Bottom;Copper Fill92
